Transaction_Time,Open,High,Low,Close,Volume,Ticker,Log_Return,Volatility_20m,Price_Gap,RSI_14m,Risk_Limit_USD,Entry_Price,Exit_Price,Trade_PnL,Slippage_USD,Cum_PnL,Peak,Drawdown
2026-04-06 00:20:00-04:00,6615.5,6616.5,6615.25,6616.25,54,ES=F,0.000113364,0.000173165,0,51.92307692,500,6615.5,6616.25,75,0.325333803,275,475,-200
2026-04-06 00:20:00-04:00,4669.299805,4670.100098,4667.899902,4668,15,GC=F,-0.000149988,0.000353977,0.599609375,38.15020745,500,4669.299805,4668,-129.9804688,0.325333803,9.9609375,819.9707031,-810.0097656
2026-04-06 00:21:00-04:00,6616.5,6616.75,6616.25,6616.75,24,ES=F,7.56E-05,0.000160596,0.25,59.18367347,500,6616.5,6616.75,25,0.112772237,300,475,-175
2026-04-06 00:21:00-04:00,4668.299805,4669.100098,4668.299805,4668.700195,7,GC=F,0.000149988,0.000344833,0.299804688,47.4032974,500,4668.299805,4668.700195,40.0390625,0.112772237,50,819.9707031,-769.9707031
2026-04-06 00:22:00-04:00,4668.600098,4668.700195,4667.799805,4667.799805,18,GC=F,-0.000192875,0.000347464,-0.100097656,41.55860626,500,4668.600098,4667.799805,-80.02929688,0.181465092,-30.02929688,819.9707031,-850
2026-04-06 00:22:00-04:00,6617,6617,6616,6616.25,55,ES=F,-7.56E-05,0.000161378,0.25,55.10204082,500,6617,6616.25,-75,0.181465092,225,475,-250
2026-04-06 00:23:00-04:00,4667.600098,4667.600098,4667.600098,4667.600098,1,GC=F,-4.28E-05,0.000339878,-0.199707031,36.55251372,500,4667.600098,4667.600098,0,0.214862829,-30.02929688,819.9707031,-850
2026-04-06 00:23:00-04:00,6616.25,6617.25,6616,6616.5,49,ES=F,3.78E-05,0.000161378,0,53.19148936,500,6616.25,6616.5,25,0.214862829,250,475,-225
2026-04-06 00:24:00-04:00,4667.100098,4667.799805,4666.5,4667.799805,12,GC=F,4.28E-05,0.000284741,-0.5,41.98441984,500,4667.100098,4667.799805,69.97070313,0.255231493,39.94140625,819.9707031,-780.0292969
2026-04-06 00:24:00-04:00,6616.5,6617.25,6616,6617,62,ES=F,7.56E-05,0.0001506,0,62.79069767,500,6616.5,6617,50,0.255231493,300,475,-175
2026-04-06 00:25:00-04:00,6616.75,6617.25,6616.75,6617.25,48,ES=F,3.78E-05,0.000144333,-0.25,57.89473684,500,6616.75,6617.25,50,0.403329183,350,475,-125
2026-04-06 00:25:00-04:00,4667.700195,4668.299805,4667.700195,4667.700195,7,GC=F,-2.13E-05,0.000281849,-0.099609375,39.37098697,500,4667.700195,4667.700195,0,0.403329183,39.94140625,819.9707031,-780.0292969
