Ticker,Total_PnL,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown
ES=F,22225.0,0.018969458555857337,0.027204308684240248,-8325.0
GC=F,11678.6621125,0.00778013626416482,0.011336581459678804,-15781.5918
INR=X,1611.55471849,0.004586927729090454,0.00531037543254802,-71.75140381
ZN=F,95.3125,0.004682844120826386,0.009380229197788978,-79.6875
