Ticker,Total_Trades,Winning_Trades,Losing_Trades,Break_Even_Trades,Win_Rate,Average_Win_PnL,Average_Loss_PnL,Total_PnL
ES=F,6480.0,2902.0,2911.0,667.0,0.4478395061728395,127.89455547898001,-119.83854345585709,22300.0
GC=F,6502.0,3168.0,3144.0,190.0,0.4872346970163027,163.23257601238635,-160.805381412993,11548.681644790004
INR=X,3937.0,1695.0,1355.0,887.0,0.4305308610617221,1.821773832864307,-1.0895586189549815,1611.5547180209999
ZN=F,6038.0,1328.0,1283.0,3427.0,0.21994037760847962,1.8131118222891567,-1.8036340607950117,93.75
